,ROI & Finance Case  -  Capacity & Scheduling Initiative,,,,,,,,
,"It produces the schedule, which is the goal.",,,,"The value is not the schedule, it is the measurement. A capacity system answers 'can we take this referral' with a number. A disposable sheet produces output, not knowledge, and throws the knowledge away every night.",,,,
,An LLM reshuffling the day is low-risk.,,,,"Scheduling clinical visits is a high-harm process. With no constraint enforcement, no audit trail, and no accountability, a wrong assignment is a patient-safety and compliance event, not a cosmetic bug.",,,,
,One clever person in Excel can run it.,,,,"That does not scale to a national network, does not survive turnover, creates no shared source of truth, and leaves nothing for auditors or surveyors. And it never compounds: next quarter is exactly as blind as this one.",,,,
,,,,,,,,,
,What we are deliberately not trying to solve,,,,,,,,
,"If capacity and scheduling were a solvable software problem it would already be solved, because the whole industry has every incentive and has been trying for two decades. Every major platform ships a scheduling module, and every agency running one still staffs teams of human schedulers who override it daily. That is the tell. So the responsible posture, and the one that should earn credibility, is that we are not trying to solve the whole thing through automations.  Where does the human need to remain in the loop and to what degree at each stage of the process and decision node?",,,,,,,,
,"The MVP does not build the schedule. It gives schedulers and leaders visibility they have never had: it surfaces real capacity before intake accepts a referral it cannot staff, flags LUPA risk while there is still time to act, and ranks the day's disruption by clinical and financial risk when a call-out hits. The full product moves from surfacing information to proposing options a scheduler accepts or overrides, and forecasting shortfalls days ahead. Fully autonomous scheduling across these conflicting, volatile constraints stays genuinely hard, and any vendor promising it should be treated with suspicion. Being explicit about that boundary is the reason to believe the rest.",,,,,,,,
,,,,,,,,,
,"For the first time, capacity becomes a number we can see",,,,,,,,
,"Ask any branch 'can you take another patient right now' and you get an answer, but never a number behind it. Capacity today is a gut-feel judgment held in a scheduler's head: real expertise, but invisible, unrecorded, and impossible to audit, compare, or improve. Two identical branches can give opposite answers on the same day and no one can say which is right. When a branch turns down a referral, there is usually no record it happened.",,,,,,,,
,"The first job of this product is not to optimize anything. It is to make capacity measurable and observable, and to convert the branch director's mental model into a quantified, defensible figure that updates as reality changes. You cannot manage, price, or improve what you cannot measure. Once capacity is a measured number it becomes an input to hiring, to referral acceptance, to territory design, and eventually to payer negotiations, every one of which is made today without it.",,,,,,,,
,,,,,,,,,
,Assumptions & drivers  (click + to expand; every figure below is computed from these),,,,,,,,
,Admissions per branch per year,600,,,,,,,
,Contribution margin per recovered admission,1200,,,,,,,
,Premium (contract / PRN / overtime) labor pool per branch per year,120000,,,,,,,
,Medicare 30-day payment periods per branch per year,1000,,,,,,,
,Revenue protected per avoided LUPA,1400,,,,,,,
,Clinician departures per branch per year,5,,,,,,,
,Replacement cost per clinician,40000,,,,,,,
,Branch count (network),80,,,,,,,
,MVP capture (share of full-product impact realized at MVP),0.6,,,,,,,
,,,,,,,,,
,Scenario driver,Conservative,,,Moderate,,,Hopeful,
,Capacity / efficiency gain,0.02,,,0.04,,,0.07,
,Premium-labor recovery,0.15,,,0.3,,,0.5,
,LUPA rate reduction (share of periods),0.005,,,0.01,,,0.02,
,Clinician turnover reduction,0.05,,,0.1,,,0.2,
,,,,,,,,,
,"The return, and where it comes from",,,,,,,,
,,CONSERVATIVE,,,MODERATE,,,HOPEFUL,
,   Recovered admissions (freed capacity),=C52*C63*C53,"=IF($I70=0,"""",REPT(""█"",ROUND(C70/$I70*20,0)))",,=C52*F63*C53,"=IF($I70=0,"""",REPT(""█"",ROUND(F70/$I70*20,0)))",,=C52*I63*C53,"=IF($I70=0,"""",REPT(""█"",ROUND(I70/$I70*20,0)))"
,   Reduced premium / contract labor,=C54*C64,"=IF($I71=0,"""",REPT(""█"",ROUND(C71/$I71*20,0)))",,=C54*F64,"=IF($I71=0,"""",REPT(""█"",ROUND(F71/$I71*20,0)))",,=C54*I64,"=IF($I71=0,"""",REPT(""█"",ROUND(I71/$I71*20,0)))"
,   Reduced LUPAs,=C65*C55*C56,"=IF($I72=0,"""",REPT(""█"",ROUND(C72/$I72*20,0)))",,=F65*C55*C56,"=IF($I72=0,"""",REPT(""█"",ROUND(F72/$I72*20,0)))",,=I65*C55*C56,"=IF($I72=0,"""",REPT(""█"",ROUND(I72/$I72*20,0)))"
,   Reduced clinician turnover,=C57*C66*C58,"=IF($I73=0,"""",REPT(""█"",ROUND(C73/$I73*20,0)))",,=C57*F66*C58,"=IF($I73=0,"""",REPT(""█"",ROUND(F73/$I73*20,0)))",,=C57*I66*C58,"=IF($I73=0,"""",REPT(""█"",ROUND(I73/$I73*20,0)))"
,"Per branch, full product",=C70+C71+C72+C73,"=IF($I74=0,"""",REPT(""█"",ROUND(C74/$I74*20,0)))",,=F70+F71+F72+F73,"=IF($I74=0,"""",REPT(""█"",ROUND(F74/$I74*20,0)))",,=I70+I71+I72+I73,"=IF($I74=0,"""",REPT(""█"",ROUND(I74/$I74*20,0)))"
,"Per branch, MVP",=C74*C60,"=IF($I75=0,"""",REPT(""█"",ROUND(C75/$I75*20,0)))",,=F74*C60,"=IF($I75=0,"""",REPT(""█"",ROUND(F75/$I75*20,0)))",,=I74*C60,"=IF($I75=0,"""",REPT(""█"",ROUND(I75/$I75*20,0)))"
,,,,,,,,,
,"Network (~80 branches), full product",=C74*C59,"=IF($I77=0,"""",REPT(""█"",ROUND(C77/$I77*20,0)))",,=F74*C59,"=IF($I77=0,"""",REPT(""█"",ROUND(F77/$I77*20,0)))",,=I74*C59,"=IF($I77=0,"""",REPT(""█"",ROUND(I77/$I77*20,0)))"
,"Network (~80 branches), MVP",=C75*C59,"=IF($I78=0,"""",REPT(""█"",ROUND(C78/$I78*20,0)))",,=F75*C59,"=IF($I78=0,"""",REPT(""█"",ROUND(F78/$I78*20,0)))",,=I75*C59,"=IF($I78=0,"""",REPT(""█"",ROUND(I78/$I78*20,0)))"
,Bars scale each row to its own Hopeful value. Conservative is deliberately modest: a 2% capacity gain is below what a competent scheduler recovers by hand once capacity is merely made visible. No single lever carries the case.,,,,,,,,
,,,,,,,,,
,The metrics the dollars are built on,,,,,,,,
,KPI,What it measures,,,,Available today?,,Lever,
,Referral turn-down rate (no capacity),Share of clinically appropriate referrals declined because no one is available to see the patient.,,,,No,,Revenue,
,Quantified branch capacity & utilization,"The maximum visits a branch can deliver, and how much of it is actually used.",,,,No,,Revenue / Cost,
,Time to start of care (SOC),"Elapsed time from referral to first billable visit, against the 48-hour standard.",,,,Partial,,Revenue,
,LUPA rate & revenue leakage,Share of 30-day periods that fall below the visit threshold and forfeit full-period payment.,,,,Partial,,Revenue,
,Premium / contract / overtime labor,Hours covered at a premium because capacity was not visible where it sat idle.,,,,Partial,,Cost,
,Missed / rescheduled visit rate,"Scheduled visits not completed as planned, creating rework, LUPA and survey risk.",,,,Partial,,Cost / Risk,
,Continuity of care,Share of a patient's visits delivered by their primary clinician; drives CAHPS and outcomes.,,,,No,,Quality / Risk,
,Clinician turnover & strain,"Attrition and the schedule volatility, imbalance and overtime that predict it.",,,,No,,Cost,
,"Almost none of these exist today as a live, trustworthy, decision-ready number. Making them visible is the product.",,,,,,,,
,,,,,,,,,
,The same instrument extends to hospice,,,,,,,,
,"Strip away the labels and home health and home-based hospice solve one problem: the right clinician, with the right skills, in the right home, at the right time, under real constraints. The matching engine does not care whether the visit is a skilled-nursing visit or a hospice routine-home-care visit. What changes is the ruleset on top, and that is configuration, not a rebuild. Rosters, licensure, geography, availability, caseloads, visit-frequency tracking and the capacity measurement itself all transfer directly.",,,,,,,,
,"Four hospice mechanics need rules added, not new products: interdisciplinary group (IDG) scheduling on the required 15-day plan-of-care cycle; RN case-manager caseloads and the recertification face-to-face; per-diem reimbursement by level of care (routine, continuous, general inpatient, respite), where the scheduling decision is directly a margin decision; and 24/7 on-call and continuous-care staffing. The stakes are higher here: a late or missed visit near end of life becomes a permanent, publicly reported CAHPS Hospice verdict on the branch. Buying the engine once and pointing it at both lines does not double the cost; it roughly doubles the return, on the line where getting it wrong hurts most.",,,,,,,,
,,,,,,,,,
,"Why it compounds, and the cost of waiting",,,,,,,,
,"This is not a one-time optimizer. Every cycle it runs, it captures data the company has never systematically had: true availability, true visit completion, true drive times, true demand arrivals, and every referral taken or turned down. That record is the asset. Each layer of it unlocks the next, harder problem: measure capacity, then forecast demand, then staff proactively to territory, then predict call-outs, then load-balance across branches. None of it is buildable on day one, because each step needs the data the prior step produced. The product manufactures the raw material for its own next version.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Figures are modeled from labeled, editable assumptions, not guaranteed outcomes, and are intended to be replaced with Compassus internal actuals before final presentation. Industry anchors: CMS CY2025 HH PPS (national 30-day rate $2,057.35); CMS CY2024 LUPA incidence ~7.8%; clinician replacement cost ~$37,000-$58,000 (Medbridge / NSI 2024-2025); CMS FY2024 hospice per-diem structure.",,,,,,,,
