,Capacity,Load,,,,,,Category,CAP-C,,"=IFERROR(SUMPRODUCT($H$48:$H$49*L$48:L$49)/SUMPRODUCT($H$48:$H$49*ISNUMBER(L$48:L$49)),0)",,,"=IFERROR(SUMPRODUCT($H$48:$H$49*O$48:O$49)/SUMPRODUCT($H$48:$H$49*ISNUMBER(O$48:O$49)),0)",,,,
C-05,Capacity,Committed load / points scheduled,Yes,Control,N,N,3,Variable,CAP-C,Active,75,Worker capacity computed dynamically from Productivity Points as (Scheduled+Completed)/Expected shows committed load in points.,Active,80,Tracks committed load/scheduled points and overlay visits per worker and stops assigning when capacity fills.,Capacity Management,,
C-12,Capacity,On-call / weekend rotation load,Yes,Control,Y,N,3,Variable,CAP-C,,,,Active,45,Weekend defaults (no weekend scheduling unless availability set) plus weekend/holiday exception settings govern weekend load; no explicit on-call rotation feature.,Capacity Management,,
,Capacity,Open room,,,,,,Category,CAP-D,,"=IFERROR(SUMPRODUCT($H$51:$H$53*L$51:L$53)/SUMPRODUCT($H$51:$H$53*ISNUMBER(L$51:L$53)),0)",,,"=IFERROR(SUMPRODUCT($H$51:$H$53*O$51:O$53)/SUMPRODUCT($H$51:$H$53*ISNUMBER(O$51:O$53)),0)",,,,
C-06,Capacity,Remaining capacity by day,Yes,Control,N,Y,3,Variable,CAP-D,,,,Active,80,"Max Hours/Day, Visits/Day and Percent Reserve compute remaining daily capacity; engine stops when either fills.",Capacity Management,,
C-07,Capacity,Week open capacity,Yes,Control,N,N,3,Variable,CAP-D,Active,75,Worker Calendar shows weekly capacity (Sunday-Saturday) for availability and remaining workload against Expected.,Active,75,Expected Hours/Points per week with a 30% cap define and enforce weekly open capacity.,Capacity Management,,
C-08,Capacity,Assessing capacity by discipline,Yes,Control,N,Y,3,Variable,CAP-D,,,,Active,70,"Percentage-time-reserved by Job Code (RN, PT, ST, MSW, CH, AIDE) auto-reserves assessing/admission capacity.",Capacity Management,,
,Capacity,Buffer,,,,,,Category,CAP-E,,"=IFERROR(SUMPRODUCT($H$55*L$55)/SUMPRODUCT($H$55*ISNUMBER(L$55)),0)",,,"=IFERROR(SUMPRODUCT($H$55*O$55)/SUMPRODUCT($H$55*ISNUMBER(O$55)),0)",,,,
C-09,Capacity,Per-diem / flex capacity,Yes,Assist,Y,N,3,Variable,CAP-E,,,,Active,60,"OVERREACH - Per-Visit/Contract workers are auto-included in the optimization pool and assigned by the engine, deciding flex-capacity use rather than proposing it per our Assist posture.",Capacity Management,,
,Capacity,Skill,,,,,,Category,CAP-F,,"=IFERROR(SUMPRODUCT($H$57*L$57)/SUMPRODUCT($H$57*ISNUMBER(L$57)),0)",,,"=IFERROR(SUMPRODUCT($H$57*O$57)/SUMPRODUCT($H$57*ISNUMBER(O$57)),0)",,,,
C-10,Capacity,Specialty competency supply,Maybe,Assist,N,N,1,Variable,CAP-F,,,,Active,70,"OVERREACH - Skills and Qualifiers are hard matching constraints auto-enforced, so specialty-competency supply is decided rather than proposed per our Assist posture.",Capacity Management,,
,Capacity,Ramp,,,,,,Category,CAP-G,,"=IFERROR(SUMPRODUCT($H$59*L$59)/SUMPRODUCT($H$59*ISNUMBER(L$59)),0)",,,"=IFERROR(SUMPRODUCT($H$59*O$59)/SUMPRODUCT($H$59*ISNUMBER(O$59)),0)",,,,
C-11,Capacity,Orientation / ramp status,Maybe,Assist,N,N,1,Variable,CAP-G,,,,,,,Capacity Management,,
,Capacity,Context,,,,,,Category,CAP-H,,"=IFERROR(SUMPRODUCT($H$61*L$61)/SUMPRODUCT($H$61*ISNUMBER(L$61)),0)",,,"=IFERROR(SUMPRODUCT($H$61*O$61)/SUMPRODUCT($H$61*ISNUMBER(O$61)),0)",,,,
C-13,Capacity,Referral volume (out of scope),No,Read,N,N,0,Variable,CAP-H,,,,,,,Capacity Management,,
,,,,,,,,,,,,,,,,,,
SCHEDULING,,,,,,,,,,,,,,,,,,
,Scheduling,Patient demand,,,,,,Category,SCH-A,,"=IFERROR(SUMPRODUCT($H$65:$H$66*L$65:L$66)/SUMPRODUCT($H$65:$H$66*ISNUMBER(L$65:L$66)),0)",,,"=IFERROR(SUMPRODUCT($H$65:$H$66*O$65:O$66)/SUMPRODUCT($H$65:$H$66*ISNUMBER(O$65:O$66)),0)",,,,
S-01,Scheduling,Plan-of-care orders / ordered frequency,Yes,Control,Y,N,3,Variable,SCH-A,Active,50,"Requested visits appear in the Scheduling Status queue and Visit Details lists Authorization, Episode, Program and Service Code from the plan of care; ordered frequency itself not surfaced.",Active,75,Schedules the Requested visits generated from plan-of-care orders; Frequency-based Plotting turns ordered frequency into plotted days.,Scheduling Engine,,
S-02,Scheduling,Visit type,Yes,Control,Y,N,3,Variable,SCH-A,Active,75,Visit Details and the Visit List expose Service Code Type and Service Code; visits group/sort by Service line.,Active,85,Optimizes an explicit set of eligible Visit Types and matches by visit type.,Scheduling Engine,,
,Scheduling,Compliance,,,,,,Category,SCH-B,,"=IFERROR(SUMPRODUCT($H$68:$H$73*L$68:L$73)/SUMPRODUCT($H$68:$H$73*ISNUMBER(L$68:L$73)),0)",,,"=IFERROR(SUMPRODUCT($H$68:$H$73*O$68:O$73)/SUMPRODUCT($H$68:$H$73*ISNUMBER(O$68:O$73)),0)",,,,
S-03,Scheduling,Ordered-frequency compliance window,Yes,Control,Y,N,3,Variable,SCH-B,,,,,,,Scheduling Engine,,
S-35,Scheduling,SOC timing window,Yes,Control,Y,N,3,Variable,SCH-B,,,,,,,Scheduling Engine,,
S-43,Scheduling,Insurance Authorization,Yes,Assist,Y,Y,3,Variable,SCH-B,,,,,,,Scheduling Engine,,
S-44,Scheduling,Add-On Orders,Yes,Assist,Y,N,3,Variable,SCH-B,,,,,,,Scheduling Engine,,
S-36,Scheduling,Recert / face-to-face window,Yes,Control,Y,N,3,Variable,SCH-B,,,,,,,Scheduling Engine,,
S-49,Scheduling,Review queue state,Yes,Read,Y,N,3,Variable,SCH-B,,,,,,,Scheduling Engine,,
,Scheduling,Clinician pattern,,,,,,Category,SCH-C,,"=IFERROR(SUMPRODUCT($H$75:$H$85*L$75:L$85)/SUMPRODUCT($H$75:$H$85*ISNUMBER(L$75:L$85)),0)",,,"=IFERROR(SUMPRODUCT($H$75:$H$85*O$75:O$85)/SUMPRODUCT($H$75:$H$85*ISNUMBER(O$75:O$85)),0)",,,,
S-04,Scheduling,Preferred working days,Maybe,Assist,N,N,1,Variable,SCH-C,,,,Active,65,"OVERREACH - Recurring Worker Availability sets the default weekly working days the engine enforces automatically, exceeding our Assist posture.",Capacity Management,,
S-05,Scheduling,Preferred start time,Maybe,Assist,N,N,1,Variable,SCH-C,,,,Active,50,"Optimized routing produces recommended start times surfaced in PointCare, which does not enforce them.",Capacity Management,,
S-46,Scheduling,Achievable first-visit time,Maybe,Read,N,N,1,Variable,SCH-C,,,,,,,Capacity Management,,
S-06,Scheduling,Start-time flexibility,Maybe,Read,N,N,1,Variable,SCH-C,,,,,,,Capacity Management,,
S-07,Scheduling,Lunch pattern/ Documentation Pattern,Maybe,Assist,N,N,1,Variable,SCH-C,,,,,,,Capacity Management,,
S-08,Scheduling,Mid-day documentation block,Maybe,Assist,N,N,1,Variable,SCH-C,,,,,,,Capacity Management,,
S-09,Scheduling,Split-shift / mid-day personal break,Maybe,Read,N,N,1,Variable,SCH-C,,,,,,,Capacity Management,,
S-10,Scheduling,Preferred end time / hard stop,Yes,Assist,N,N,3,Variable,SCH-C,,,,Active,55,"OVERREACH - Max Hours/Day and the fixed daily constraint act as an auto-enforced hard stop on the workday, exceeding our Assist posture on end time (indirect: a capacity cap, not a clock end-time).",Capacity Management,,
S-11,Scheduling,Max consecutive visits / daily volume,Maybe,Assist,N,Y,1,Variable,SCH-C,Active,50,The Smart Scheduling Exceptions queue surfaces visits rejected for reasons such as 'Worker at Max Hours'.,Active,75,"OVERREACH - Visits-per-Day and Hours-per-Day parameters auto-cap daily volume; engine stops at whichever fills first, exceeding our Assist posture.",Capacity Management,,
S-12,Scheduling,Elasticity / willingness to flex,Maybe,Read,N,N,1,Variable,SCH-C,,,,Testing,45,"Shift Manager Find Shifts (first feature, newly launching) lets clinicians opt into extra visits, surfacing willingness for them to decide.",Capacity Management,,
S-13,Scheduling,Overtime / extra-visit willingness,Maybe,Read,N,N,1,Variable,SCH-C,,,,Active,55,"OVERREACH - Engine auto-applies overtime penalties/1.5x rates and 30% caps to de-incentivize overtime, acting on it rather than only surfacing willingness per our Read posture.",Capacity Management,,
,Scheduling,Routing,,,,,,Category,SCH-D,,"=IFERROR(SUMPRODUCT($H$87:$H$92*L$87:L$92)/SUMPRODUCT($H$87:$H$92*ISNUMBER(L$87:L$92)),0)",,,"=IFERROR(SUMPRODUCT($H$87:$H$92*O$87:O$92)/SUMPRODUCT($H$87:$H$92*ISNUMBER(O$87:O$92)),0)",,,,
S-14,Scheduling,Home base (start/end location),Yes,Control,Y,N,3,Variable,SCH-D,,,,Active,90,Worker home address or Alternate Starting Point is the routing start/end point the engine uses automatically.,Scheduling Engine,,
S-17,Scheduling,Proximity to existing route,Maybe,Control,N,Y,1,Variable,SCH-D,,,,Active,85,Optimizes assignment partly on drive distance/proximity between a clinician's existing routed visits.,Scheduling Engine,,
S-18,Scheduling,Optimized-route mileage,Yes,Control,N,N,3,Variable,SCH-D,,,,Active,90,Core function: computes shortest-driving-distance routes via OpenStreetMaps and optimizes mileage cost automatically.,Scheduling Engine,,
S-19,Scheduling,Intra-day sequencing,Maybe,Assist,N,N,1,Variable,SCH-D,Active,45,"The 7-day calendar separates Time not set from Time set visits, showing timed visit chips in intra-day order.",Active,75,"Orders visits to optimize drive time and shows recommended sequence in PointCare, which does not enforce the order.",Scheduling Engine,,
S-45,Scheduling,Clinician Safety,Maybe,Assist,N,Y,1,Variable,SCH-D,,,,,,,Scheduling Engine,,
S-20,Scheduling,Appointment window (time of day),Yes,Assist,N,N,3,Variable,SCH-D,Active,65,Visit Details shows Visit Start and End time and the calendar's Time set section lists the assigned time-of-day window.,Active,70,Patient Schedule Preference time ranges (7am-7pm) are used to suggest visit times; console warns but does not block.,Scheduling Engine,,
,Scheduling,Matching,,,,,,Category,SCH-E,,"=IFERROR(SUMPRODUCT($H$94:$H$96*L$94:L$96)/SUMPRODUCT($H$94:$H$96*ISNUMBER(L$94:L$96)),0)",,,"=IFERROR(SUMPRODUCT($H$94:$H$96*O$94:O$96)/SUMPRODUCT($H$94:$H$96*ISNUMBER(O$94:O$96)),0)",,,,
S-15,Scheduling,Discipline / role match,Yes,Control,Y,N,3,Variable,SCH-E,Active,55,"Visit List shows assigned Worker and service code, and worker cards carry Primary Job Description for discipline/role visibility; no match validation.",Active,90,Discipline/role match via Job Code is a hard constraint; ineligible workers are never assigned.,Scheduling Engine,,
S-16,Scheduling,Specialty competency match,Yes,Assist,Y,N,3,Variable,SCH-E,,,,Active,75,"OVERREACH - Skills/Qualifiers competency match is an auto-enforced hard constraint, deciding rather than proposing per our Assist posture.",Scheduling Engine,,
S-33,Scheduling,Acuity to discipline / skill,Yes,Read,Y,N,3,Variable,SCH-E,,,,,,,Scheduling Engine,,
,Scheduling,Constraint,,,,,,Category,SCH-F,,"=IFERROR(SUMPRODUCT($H$98*L$98)/SUMPRODUCT($H$98*ISNUMBER(L$98)),0)",,,"=IFERROR(SUMPRODUCT($H$98*O$98)/SUMPRODUCT($H$98*ISNUMBER(O$98)),0)",,,,
S-21,Scheduling,Clinician restrictions,Yes,Control,Y,N,3,Variable,SCH-F,,,,Active,80,"Incompatible-patient flags, license/state matching, and exclusion locations are auto-enforced clinician restrictions.",Scheduling Engine,,
,Scheduling,Continuity,,,,,,Category,SCH-G,,"=IFERROR(SUMPRODUCT($H$100*L$100)/SUMPRODUCT($H$100*ISNUMBER(L$100)),0)",,,"=IFERROR(SUMPRODUCT($H$100*O$100)/SUMPRODUCT($H$100*ISNUMBER(O$100)),0)",,,,
S-22,Scheduling,Continuity of care,Maybe,Assist,N,N,1,Variable,SCH-G,Active,80,Continuity assigned by Smart Scheduling appears as a Visit List column and is filterable via 'Continuity less than' in 10% increments.,Active,85,"OVERREACH - Continuity is a core optimization: the engine auto-assigns to maximize a weighted continuity score and can override manual assignments, exceeding our Assist posture.",Scheduling Engine,,
,Scheduling,Preference,,,,,,Category,SCH-H,,"=IFERROR(SUMPRODUCT($H$102:$H$103*L$102:L$103)/SUMPRODUCT($H$102:$H$103*ISNUMBER(L$102:L$103)),0)",,,"=IFERROR(SUMPRODUCT($H$102:$H$103*O$102:O$103)/SUMPRODUCT($H$102:$H$103*ISNUMBER(O$102:O$103)),0)",,,,
S-23,Scheduling,Gender preference,No,Assist,N,N,0,Variable,SCH-H,,,,,,,Patient Engagement,,
S-24,Scheduling,Language / cultural match,Maybe,Assist,N,N,1,Variable,SCH-H,,,,,,,Patient Engagement,,
,Scheduling,Patient availability,,,,,,Category,SCH-I,,"=IFERROR(SUMPRODUCT($H$105:$H$107*L$105:L$107)/SUMPRODUCT($H$105:$H$107*ISNUMBER(L$105:L$107)),0)",,,"=IFERROR(SUMPRODUCT($H$105:$H$107*O$105:O$107)/SUMPRODUCT($H$105:$H$107*ISNUMBER(O$105:O$107)),0)",,,,
S-25,Scheduling,Time-of-day refusal,Yes,Assist,N,N,3,Variable,SCH-I,,,,Active,65,Patient Schedule Preference days/times let agencies encode time-of-day refusals the engine suggests around.,Patient Engagement,,
S-26,Scheduling,Preferred visit window,Maybe,Assist,N,N,1,Variable,SCH-I,,,,Active,70,Patient Schedule Preference preferred time ranges feed the engine's suggested visit windows.,Patient Engagement,,
S-27,Scheduling,Day-of-week constraint,Yes,Assist,Y,N,3,Variable,SCH-I,,,,Active,70,Patient Schedule Preference preferred days constrain the engine's day suggestions.,Patient Engagement,,
,Scheduling,Caregiver,,,,,,Category,SCH-J,,"=IFERROR(SUMPRODUCT($H$109:$H$112*L$109:L$112)/SUMPRODUCT($H$109:$H$112*ISNUMBER(L$109:L$112)),0)",,,"=IFERROR(SUMPRODUCT($H$109:$H$112*O$109:O$112)/SUMPRODUCT($H$109:$H$112*ISNUMBER(O$109:O$112)),0)",,,,
S-28,Scheduling,Caregiver-present requirement,Yes,Read,Y,N,3,Variable,SCH-J,,,,,,,Patient Engagement,,
S-47,Scheduling,POA status and signing authority,Yes,Assist,Y,N,3,Variable,SCH-J,,,,,,,Patient Engagement,,
S-29,Scheduling,Cognitive / dementia constraint,Yes,Read,Y,N,3,Variable,SCH-J,,,,,,,Patient Engagement,,
S-30,Scheduling,Caregiver schedule / fluctuating availability,Yes,Read,Y,N,3,Variable,SCH-J,,,,,,,Patient Engagement,,
,Scheduling,Clinical timing,,,,,,Category,SCH-K,,"=IFERROR(SUMPRODUCT($H$114:$H$117*L$114:L$117)/SUMPRODUCT($H$114:$H$117*ISNUMBER(L$114:L$117)),0)",,,"=IFERROR(SUMPRODUCT($H$114:$H$117*O$114:O$117)/SUMPRODUCT($H$114:$H$117*ISNUMBER(O$114:O$117)),0)",,,,
S-31,Scheduling,Diagnosis-driven timing,Yes,Read,Y,N,3,Variable,SCH-K,,,,,,,Scheduling Engine,,
S-48,Scheduling,Rehospitalization risk,Maybe,Read,N,N,1,Variable,SCH-K,,,,,,,Scheduling Engine,,
S-32,Scheduling,Competing medical appointments,Yes,Assist,Y,N,3,Variable,SCH-K,,,,Active,65,"Patient Schedule Preference is explicitly for dialysis/bloodwork/other vital appointments, letting the engine suggest around competing appointment times.",Patient Engagement,,
S-34,Scheduling,Infection-control sequencing,Maybe,Assist,N,N,1,Variable,SCH-K,,,,,,,Scheduling Engine,,
,Scheduling,Dependency,,,,,,Category,SCH-L,,"=IFERROR(SUMPRODUCT($H$119*L$119)/SUMPRODUCT($H$119*ISNUMBER(L$119)),0)",,,"=IFERROR(SUMPRODUCT($H$119*O$119)/SUMPRODUCT($H$119*ISNUMBER(O$119)),0)",,,,
S-37,Scheduling,Supervisory visit dependency,Yes,Control,Y,N,3,Variable,SCH-L,,,,Active,65,Buddy codes (Medical Treatment visits) are auto-matched to the routine visit by patient and day so the same worker takes both.,Scheduling Engine,,
,Scheduling,Exception,,,,,,Category,SCH-M,,"=IFERROR(SUMPRODUCT($H$121:$H$123*L$121:L$123)/SUMPRODUCT($H$121:$H$123*ISNUMBER(L$121:L$123)),0)",,,"=IFERROR(SUMPRODUCT($H$121:$H$123*O$121:O$123)/SUMPRODUCT($H$121:$H$123*ISNUMBER(O$121:O$123)),0)",,,,
S-38,Scheduling,Missed / unworked visit rescheduling,Yes,Assist,Y,N,3,Variable,SCH-M,Active,75,"The Scheduling Status Alerts queue surfaces Rescheduled, Reassigned, Declined and Missed-by-Clinician visits requiring rework.",Active,75,"OVERREACH - Visit Dispatching auto-reassigns declined/reassigned visits to the next-best worker and stage-completes, exceeding our Assist posture.",Scheduling Engine,,
S-39,Scheduling,Missed-visit documentation,Yes,Control,N,N,3,Variable,SCH-M,Active,65,"Missed statuses (Missed by Clinician, Missed-Not Needed marked by Scheduler) and Visit Change History document unworked visits.",Active,60,Visit Change History and rejection/decline reasons auto-log every action taken on a visit (engine- or user-driven).,Scheduling Engine,,
S-50,Scheduling,Documentation sync latency,Maybe,Read,N,Y,1,Variable,SCH-M,,,,,,,Scheduling Engine,,
,Scheduling,Distribution,,,,,,Category,SCH-N,,"=IFERROR(SUMPRODUCT($H$125:$H$127*L$125:L$127)/SUMPRODUCT($H$125:$H$127*ISNUMBER(L$125:L$127)),0)",,,"=IFERROR(SUMPRODUCT($H$125:$H$127*O$125:O$127)/SUMPRODUCT($H$125:$H$127*ISNUMBER(O$125:O$127)),0)",,,,
S-40,Scheduling,Front-loading,Maybe,Assist,N,Y,1,Variable,SCH-N,,,,,,,Scheduling Engine,,
