C-01,Capacity,Supply,Headcount by discipline & employment type,The staffed supply broken out by discipline and FTE type.,The single largest driver of branch capacity. A branch is only as capable as its thinnest discipline.,14 FT RNs + 2 PD RNs sets the RN ceiling before any scheduling.,Structural,High,Control,Clear supply fact.,Legible supply - a stable attractor.,Workday,Capacity Management
C-02,Capacity,Geography,Branch coverage territory (county),The counties the branch is responsible for covering.,Sets the outer boundary of where capacity must exist; gaps here are coverage holes no scheduling can fill.,Branch owns all of Dorchester county regardless of where clinicians live.,Structural,High,Control,Fixed coverage boundary.,Fixed boundary.,HCHB,Capacity Management
C-03,Capacity,Geography,Clinician territory assignment (zip),The zip codes each clinician is assigned to serve.,Determines whether branch capacity is actually reachable; capacity concentrated in the wrong zips is stranded.,RN capacity exists but all of it sits in 29464 while the referral is in 29429.,Structural,Medium,Assist,Neighborhood ownership is partly informal knowledge.,"Reachability carries tacit routing knowledge; propose, let humans tune it.",HCHB + Manual,Capacity Management
C-04,Capacity,Geography,Census-tract granularity (under evaluation),Whether to model coverage at census-tract rather than zip level.,A precision decision that sits on the fissure: finer geography sharpens both capacity coverage maps and scheduling proximity. Evaluate once as a shared factor.,One large zip spans an urban core and a rural edge with very different drive times.,Config,Medium,Assist,"A modeling choice, not a live control; evaluate deliberately.","Granularity choice reshapes both basins at once; decide deliberately, not by default.",Census,Capacity Management
C-05,Capacity,Load,Committed load / points scheduled,Points already booked against a clinician or branch.,Capacity is meaningless without netting committed load; open room = ceiling minus committed.,"RN ceiling 40 pts/week, 32 booked, 8 open.",Derived,High,Control,Derived from booked visits.,"Derived - reads the pattern, doesn't move it.",Derived,Capacity Management
C-06,Capacity,Open room,Remaining capacity by day,Bookable points left in each day after assigned work.,"The operational read of capacity: green = space, amber <=1.5, red <=0, null = day off/PTO.",Wednesday shows 3 open RN points; Thursday shows red.,Derived,High,Control,Direct derivation from the schedule.,Derived read of open room.,Derived,Capacity Management
C-07,Capacity,Open room,Week open capacity,Sum of remaining points from today through end of week.,The 'how much can we still take this week' number leaders act on.,"22 bookable RN points remain branch-wide, rest of week.",Derived,High,Control,Direct derivation.,Derived.,Derived,Capacity Management
C-08,Capacity,Open room,Assessing capacity by discipline,Open capacity limited to assessing clinicians of a given discipline.,SOC/eval demand can only be met by assessing capacity; this gates new-patient acceptance.,6 open RN-assessing points can absorb two SOCs (2.5 each).,Derived,High,Control,"Direct derivation, discipline-filtered.",Derived.,Derived,Capacity Management
C-09,Capacity,Buffer,Per-diem / flex capacity,Capacity available on demand from per-diem and contract staff.,The elastic buffer leaders tap when FT capacity is exhausted; its size and engagement set surge tolerance.,Two PD RNs each offering 12 visits/week absorb overflow.,Structural,Medium,Assist,Availability is stated; actual engagement depends on the relationship.,"Buffer size is legible; whether it flexes is relational - read, don't presume.",Manual + HCHB,Capacity Management
C-10,Capacity,Skill,Specialty competency supply,Capacity for visits requiring a specific competency beyond discipline.,"Not every RN can do every RN visit; wound, cardiac, infusion, pediatric are a capacity within a capacity.",14 RNs but only 3 wound-certified; wound capacity is the real constraint.,Structural,Medium,Assist,"Competency is often informal, not fully credentialed in the data.","Competency lives partly in reputation, not credentials; surface it.",Workday + Manual,Capacity Management
C-11,Capacity,Ramp,Orientation / ramp status,Reduced-capacity status of new hires still onboarding.,New clinicians count as headcount but not full capacity; ignoring ramp overstates supply.,"A week-2 hire carries a 4-pt ceiling, not 8.",Structural,Medium,Assist,Headcount is clear; the true ramp curve requires judgment.,"Ramp is a curve, not a switch - judgment, not a rule.",Workday,Capacity Management
C-12,Capacity,Load,On-call / weekend rotation load,Off-cycle load carried into the standard week.,Weekend and on-call work reduces the capacity a clinician brings to weekday visits.,A clinician off the weekend rotation starts Monday already partly loaded.,Structural,High,Control,Clear from the rotation log.,Legible load.,HCHB,Capacity Management
C-13,Capacity,Context,Referral volume (out of scope),The rate of incoming referrals.,"Primary demand driver, but held steady by scope decision; documented so capacity math is transparent, not scored as a lever.",Assume a constant referral rate across the evaluation window.,Context,Low,Read,Out of scope; held steady. Surface only.,Held constant; out of scope by choice.,HCHB,Capacity Management
C-14,Capacity,Geography,Territory currency,"How recently territory assignments were reviewed against actual referral and caseload distribution, and how far apart the two have drifted.","C-03 records what the territory is; this records whether it is still right. Territories are set once on thin data and then left, so drift is invisible until capacity strands in one zip while the next saturates.",One territory carries ~30 patients across two full-time clinicians while the adjacent area turns down starts.,Structural,Medium,Assist,"The misalignment is measurable; redrawing a boundary is a leadership act. Propose, never redraw.",The origin variable of the whole model - everything downstream inherits a stale boundary.,HCHB + Manual,Capacity Management
S-01,Scheduling,Patient demand,Plan-of-care orders / ordered frequency,The visit types and cadence a patient's plan of care requires.,The demand signal at the visit grain; everything scheduling does is placing these orders into viable slots.,Ordered 2w9: nine visits over two weeks in a set pattern.,Hard,High,Control,Orders are clear in HCHB.,The demand signal - legible.,HCHB,Scheduling Engine
S-02,Scheduling,Patient demand,Visit type,The specific type of each ordered visit.,Sizes the slot (points) and dictates the required role; SOC/eval must go to assessing staff.,An SOC (2.5) needs an assessing RN and a longer window than a routine (1.0).,Hard,High,Control,Clear order attribute.,Legible.,HCHB,Scheduling Engine
S-03,Scheduling,Compliance,Ordered-frequency compliance window,The date range within which each ordered visit must occur.,A visit placed outside its window is a compliance miss even if delivered; scheduling is bounded by these windows.,The 9th visit of a 2w9 must land before the two-week window closes.,Hard,High,Control,Rule-based date window; ideal to enforce and flag.,"Hard, legible clock - safe to enforce.",HCHB,Scheduling Engine
S-04,Scheduling,Clinician pattern,Preferred working days,The days a clinician prefers or is set to work.,"Baseline availability; some rotate (baylor, Fri/Mon off) which scheduling must respect.","Clinician works Mon-Thu, off Fridays.",Soft,Medium,Assist,"Set pattern, but rotations and swaps are informal.","Pattern with informal exceptions; read, propose.",Manual + HCHB,Capacity Management
S-05,Scheduling,Clinician pattern,Preferred start time,The time of day a clinician prefers to begin visits.,"Anchors the front of the route; some want an 8am first visit, others a later start.",Clinician A always wants an 8am first visit near home.,Soft,Medium,Assist,Capturable preference; confirm before acting.,"Preference; capturable but personal - assist, don't fix.",Manual,Capacity Management
S-06,Scheduling,Clinician pattern,Start-time flexibility,Whether the start time is fixed or can shift day to day.,Distinguishes a rigid clinician from one who moves to accommodate a patient window - a schedulable lever.,Clinician B will start at 7 or 9 depending on the day.,Soft,Low,Read,Depends on the clinician's willingness; a wrong assumption damages trust.,Sensitive dependence - a person's willingness; assuming it reshapes the relationship. Read only.,Manual,Capacity Management
S-07,Scheduling,Clinician pattern,Lunch pattern/ Documentation Pattern,Whether and when a clinician takes a lunch break.,A fixed lunch removes a mid-day slot and splits the route; some take none.,Clinician takes 12-12:30 lunch daily; no visits across it.,Soft,Medium,Assist,Capturable habit.,Personal habit - assist.,Manual,Capacity Management
S-08,Scheduling,Clinician pattern,Mid-day documentation block,Time reserved mid-day for charting.,Consumes schedulable time and shapes the route into segments.,Clinician holds 1-2pm for documentation.,Soft,Medium,Assist,Capturable habit.,Personal habit - assist.,Manual,Capacity Management
S-09,Scheduling,Clinician pattern,Split-shift / mid-day personal break,"A mid-day gap for errands or childcare, with visits before and after.","Creates a two-cluster day scheduling must build around, not a continuous block.","Sees 3 patients, breaks 2-4pm for school pickup, then 2 more.",Soft,Low,Read,Personal daily routine that varies; hard to predict reliably.,The clinician's own daily rhythm - a strange attractor; small control inputs distort it. Read only.,Manual,Capacity Management
S-10,Scheduling,Clinician pattern,Preferred end time / hard stop,The time by which a clinician must finish.,Caps the back of the route; a hard stop behaves as a hard constraint.,Must end by 4:30 for childcare - no later visits.,Hard/Soft,Medium,Assist,"Firm once known, but knowing it depends on the clinician telling you.",Firm edge once known; the knowing is tacit.,Manual,Capacity Management
S-11,Scheduling,Clinician pattern,Max consecutive visits / daily volume,The most visits a clinician will carry before a break or in a day.,Bounds how densely a day packs regardless of open points.,Caps at 6 visits/day even if points allow more.,Soft,Medium,Assist,Capturable ceiling; confirm.,Personal ceiling - assist.,Manual,Capacity Management
S-12,Scheduling,Clinician pattern,Elasticity / willingness to flex,How readily a clinician bends their pattern on request.,Meta-variable: determines which soft constraints can be overridden under pressure.,Clinician C reliably says yes to an added visit; Clinician D never does.,Soft,Low,Read,Relationship-based; automating it can damage the trust it depends on.,Pure relational variable; the act of automating it changes what it measures. Read only.,Manual,Capacity Management
S-13,Scheduling,Clinician pattern,Overtime / extra-visit willingness,Willingness to take visits beyond target.,Drives coverage uptake and surge response; often tied to PPV pay.,PPV clinician accepts a 7th visit; salaried declines.,Soft,Low,Read,"Relationship- and pay-linked; surface it, do not assume.","Relational and pay-linked; surface, never presume.",Manual,Capacity Management
S-14,Scheduling,Routing,Home base (start/end location),Where the clinician's day begins and ends.,Anchors first and last visit selection; a distant first visit wastes the day.,Lives in 29466; first visit ideally in or near it.,Structural,High,Control,Clear location anchor.,Legible anchor.,Manual + Routing,Scheduling Engine
S-15,Scheduling,Matching,Discipline / role match,Assigning the ordered visit to a clinician of the required license and role.,Hard gate; wrong discipline cannot deliver the visit.,An RN SOC cannot be assigned to a PTA.,Hard,High,Control,"Firm licensure gate, fully clear.",Hard gate - legible.,Derived,Scheduling Engine
S-16,Scheduling,Matching,Specialty competency match,Assigning visits needing a competency to a qualified clinician.,Narrows the eligible pool below the discipline - a hidden hard constraint.,Only wound-certified RNs are eligible for a complex wound SOC.,Hard,Medium,Assist,"Only as good as the competency data, which is often incomplete.",Only as legible as the credential data - often it isn't.,Workday + Manual,Scheduling Engine
S-17,Scheduling,Routing,Proximity to existing route,How close a candidate visit is to the clinician's other visits that day.,Primary efficiency lever; clustering cuts drive time and raises effective capacity.,Add the 29445 visit to the clinician already working 29445 Thursday.,Soft,High,Control,Geographic optimization; safe and reversible.,"Geometry - safe optimization; the efficiency here is real, not the attractor's slack.",Routing,Scheduling Engine
S-18,Scheduling,Routing,Optimized-route mileage,Total drive distance of the sequenced day.,The cost scheduling minimizes; high mileage means fewer visits fit.,Re-sequencing drops the day from 46 to 31 miles.,Derived,High,Control,Deterministic routing math.,Deterministic.,Routing,Scheduling Engine
S-19,Scheduling,Routing,Intra-day sequencing,The order visits are performed within the day.,Where time-windowed and caregiver-present visits pin the route and everything else fills around them.,A fixed 10am teaching visit anchors the morning sequence.,Soft,Medium,Assist,"Clear, but pinned by fixed time constraints; propose a sequence.","Legible skeleton pinned by tacit anchors; propose, let the human place the anchors.",Derived,Scheduling Engine
S-20,Scheduling,Routing,Appointment window (time of day),The time band a visit must fall within.,Converts a day-level order into a time-level constraint - the unit real scheduling increasingly works in.,Visit must occur 9-11am.,Hard/Soft,Medium,Assist,Enforceable once captured; capture is the weak point.,Enforceable once captured; capture is where reality leaks in.,HCHB + Manual,Scheduling Engine
S-21,Scheduling,Constraint,Clinician restrictions,"Visit-type, territory, or acuity limits on a clinician.",Hard gates set by the scheduler / clinical manager.,'No wound care; north territory only.',Hard,High,Control,Documented firm restriction; honor it.,Documented hard gate.,Manual,Scheduling Engine
S-22,Scheduling,Continuity,Continuity of care,Keeping the same clinician with a patient across the episode.,Improves outcomes and satisfaction; a strong soft preference scheduling protects where possible.,The patient's SOC RN follows through recert.,Soft,Medium,Assist,Prior clinician is known; the relationship's value is informal.,"The relationship is load-bearing but invisible in the data; protect it, don't score it away.",HCHB,Scheduling Engine
S-23,Scheduling,Preference,Gender preference,Patient request for a same- or specific-gender clinician.,"Can be a hard constraint for cultural, religious, or comfort reasons.",Patient requests a female clinician for personal care.,Hard/Soft,Medium,Assist,Sensitive; surface and confirm rather than auto-match.,Sensitive; surface and confirm.,Manual,Patient Engagement
S-24,Scheduling,Preference,Language / cultural match,Matching clinician language or cultural familiarity to the patient.,Affects teaching effectiveness; sometimes hard when no interpreter is available.,Spanish-speaking patient paired with a bilingual clinician.,Soft,Medium,Assist,Capturable; confirm for teaching-critical visits.,Read and confirm for teaching-critical visits.,Manual,Patient Engagement
S-25,Scheduling,Patient availability,Time-of-day refusal,"Patient refusal of a time band (no early, no morning, no afternoon).","Removes slots and reshapes the whole route, but it is a negotiation rather than a wall - malleable based on relationship, which is exactly why it must be asked rather than assumed.",Patient refuses any visit before 11am.,Soft,Medium,Assist,"Firm rule once captured, but a stale refusal causes a failed visit.","Hard once captured, but a stale value fails the visit - the map isn't the territory.",Manual,Patient Engagement
S-26,Scheduling,Patient availability,Preferred visit window,The time the patient prefers to be seen.,Softer than a refusal but drives satisfaction and access.,Patient prefers early afternoon.,Soft,Medium,Assist,"Soft window; optimize toward it, confirm.","Soft - optimize toward, confirm.",Manual,Patient Engagement
S-27,Scheduling,Patient availability,Day-of-week constraint,Days the patient is unavailable due to standing commitments.,Standing dialysis or clinic days block those dates entirely.,At dialysis Mon/Wed/Fri mornings.,Hard,Medium,Assist,Standing commitments are capturable but patient-reported.,"Standing constraint; patient-reported, so trust but verify.",Manual + HCHB,Patient Engagement
S-28,Scheduling,Caregiver,Caregiver-present requirement,Visit can only occur when a caregiver is present.,"Ties the visit to a second person's calendar; common for teaching (wound care, insulin) and safety.","Wound-care teaching only when the daughter is home, evenings.",Hard,Low,Read,"Firm requirement, but the input is informal and changing, with patient-safety impact.","Danger quadrant - hard rule, fluctuating tacit input, patient harm. The clearest 'read, never control.'",Manual,Patient Engagement
S-29,Scheduling,Caregiver,Cognitive / dementia constraint,Patient cognition requires a caregiver present or specific conditions.,Makes caregiver availability a hard gate and narrows viable windows sharply.,Dementia patient can't admit a clinician alone; caregiver home only 8-10am.,Hard,Low,Read,"Cognition plus caregiver dependency; system surfaces, a person decides.",Danger quadrant - cognition plus caregiver dependency; automation must only surface.,Manual + HCHB,Patient Engagement
S-30,Scheduling,Caregiver,Caregiver schedule / fluctuating availability,The caregiver's own changing availability.,Scheduling around two moving calendars - the hardest real-world case.,Caregiver works rotating shifts; the available window changes weekly.,Hard,Low,Read,"Two changing calendars, largely undocumented; needs a person.","Two moving calendars, undocumented - the purest sensitive dependence in the system.",Manual,Patient Engagement
S-31,Scheduling,Clinical timing,Diagnosis-driven timing,Visit timing dictated by clinical need.,"Fasting labs AM, insulin/meal-timed visits, wound-care cadence; timing is clinical, not preference.",Insulin-teaching visit must align with the patient's morning dose.,Hard,Low,Read,"Clinical timing judgment with patient-safety impact; flag, do not decide.","Clinical judgment with patient harm; flag, never decide.",HCHB + Manual,Scheduling Engine
S-32,Scheduling,Clinical timing,Competing medical appointments,The patient's other appointments that block windows or days.,"Dialysis, infusion, MD visits remove time; must be known to avoid failed visits.",No PT visit Tuesday - patient has an all-day infusion.,Hard,Medium,Assist,"Capturable if reported, but often surfaces only in conversation.","Surfaces in conversation, not the record; read and confirm.",Manual + HCHB,Patient Engagement
S-33,Scheduling,Matching,Acuity to discipline / skill,Higher-acuity patients requiring a more skilled or specific clinician.,Raises the match bar and can force a specific individual.,High-acuity cardiac patient needs the cardiac-competent RN.,Hard,Low,Read,"Acuity-to-skill is clinical judgment; recommend, a person confirms.","Clinical judgment; recommend, the human owns it.",HCHB + Manual,Scheduling Engine
S-34,Scheduling,Clinical timing,Infection-control sequencing,Ordering visits to manage infection risk.,"Immunocompromised seen first, infectious last - a sequencing constraint on the day.",See the neutropenic patient before the C. diff patient.,Soft,Medium,Assist,Partly rule-based; confirm for complex cases.,"Partly a rule, partly judgment; assist.",Manual,Scheduling Engine
S-35,Scheduling,Compliance,SOC timing window,The window in which a start-of-care must occur after referral.,A hard regulatory clock; a late SOC is a compliance and quality failure.,SOC must occur within 48 hours of referral acceptance.,Hard,High,Control,"Regulatory clock, fully clear - the safest automation win.",Hard regulatory clock - the safest thing to automate.,HCHB,Scheduling Engine
S-36,Scheduling,Compliance,Recert / face-to-face window,Windows for recertification and required face-to-face encounters.,Bounds when certain visits can and must be scheduled.,Recert visit must fall in the last 5 days of the episode.,Hard,High,Control,Regulatory window; enforce and flag.,Regulatory - enforce.,HCHB,Scheduling Engine
S-37,Scheduling,Dependency,Supervisory visit dependency,Required RN supervision of LPN/aide on a cadence.,"Chains one clinician's schedule to another's - a dependency, not a single assignment.",RN supervisory visit due every 14 days for the aide's patient.,Hard,High,Control,Rule-based cadence dependency; clear and enforceable.,Rule-based cadence; legible.,HCHB,Scheduling Engine
S-38,Scheduling,Exception,Missed / unworked visit rescheduling,Rebooking past-dated visits that were never worked.,"The recovery loop; unaddressed, these become compliance and revenue misses.",Wednesday's unworked visit must be rebooked by Friday.,Hard,Medium,Assist,Detecting the miss is straightforward; choosing the reschedule pulls in every soft constraint.,Sensing the miss is legible; the reschedule pulls the whole basin back in - assist.,HCHB + Derived,Scheduling Engine
S-39,Scheduling,Exception,Missed-visit documentation,Required notes when a visit is missed.,Compliance artifact tied to the exception.,Missed-visit note completed for the skipped Thursday visit.,Config,High,Control,Workflow and compliance prompt and tracking.,Workflow - safe.,HCHB,Scheduling Engine
S-40,Scheduling,Distribution,Front-loading,Concentrating visits early in the week.,Protects against end-of-week misses; 42% Mon-Tue share is the gold standard.,Schedule builds toward 42% of weekly points by Tuesday night.,Soft,Medium,Assist,"Optimize toward the target, but forcing it disrupts clinician routines.","A target, not a law; forcing it flattens the clinician's rhythm into a fixed point.",Derived,Scheduling Engine
S-41,Scheduling,Distribution,Pace vs. schedule,Whether a clinician is on track against their own planned schedule to date.,Signals when to rebalance the rest of the week.,By Wednesday the clinician is at 70% of planned-to-date - behind.,Derived,High,Control,Derived metric; safe to surface.,Derived read.,Derived,Scheduling Engine
S-42,Scheduling,Distribution,Day-by-day balancing,Spreading load so no single day is over- or under-packed.,Prevents both burnout days and idle days; smooths the week against the ceiling.,Move one Thursday visit to a light Monday.,Soft,Medium,Assist,"Optimizable, but it touches human routines and informal constraints.","Optimizable, but it touches human routines - assist, don't dictate.",Derived,Scheduling Engine
S-43,Scheduling,Compliance,Insurance Authorization,"Whether authorization exists for an ordered visit, how many visits the payer permits to be scheduled against pending authorization, and what gates further authorization.","The largest single bottleneck identified in the whiteboard session. A referral clears authorization verification before scheduling sees it at all, and the pending-auth allowance caps how far ahead the scheduler can work.","Payer permits three visits against pending auth; the ordered frequency is 2w1, so the scheduler cannot plot past week two.",Hard,High,Assist,"Auth state is a firm gate once known, but chasing it is relational and payer rules vary by state - surface the gate, let a person work the exception.",A wait the current process map does not show. State-specific auth rules belong in the system knowledge base; they feed capacity forecasting directly.,HCHB + Commure,Scheduling Engine
S-44,Scheduling,Compliance,Add-On Orders,"Any order written after the 485 is submitted, and whether it changes visit frequency.","In steady state there is no recurring scheduler workflow unless an add-on order changes frequency - at which point the order routes through DCS approval, then authorization, then back to the scheduler.",Physician adds wound care 3w2 in week three; the plan re-enters the queue for every affected discipline.,Hard,High,Assist,Detecting the order is clean; the frequency change pulls the whole assignment basin back in.,The mechanism by which a settled plan re-enters the queue. Bottleneck awaiting DCS workflow.,HCHB,Scheduling Engine
S-45,Scheduling,Routing,Clinician Safety,"Market-specific safety rules that constrain when and where a visit may be scheduled, and the alerts a clinician must see before the visit.","Safety requirements vary by market and are not preferences. One market requires screening questions on firearms in the home, other people present, and mental illness, instituted after a clinician was killed in a patient's home.","No unaccompanied visits in a named area after 4pm; the slot is removed from the route, not flagged for override.",Hard,Medium,Assist,"A hard rule once captured, but capture is manual and market-local - honour it, let a person own the exception.","Constrains time-of-day and geography, and bounds where an automated agent may substitute for a person at all.",Manual,Scheduling Engine
S-46,Scheduling,Clinician pattern,Achievable first-visit time,"The first visit time a clinician can actually secure with their current caseload, as distinct from the time they prefer (S-05), and the gap between the two.",S-05 records the preference. Nothing records whether it is being achieved. The gap is the clearest measure of autonomy lost to the caseload rather than to management - and it is invisible today.,Clinician prefers an 8am start; the earliest slot any patient will accept is 10am. Two hours of the day are gone and nobody owns it.,Soft,Medium,Read,"Read, deliberately. Inferring preference from observed start times records defeat as choice and then optimises to preserve it. Ask, record, report the gap as a problem to work.","A clinician at 10am by choice and one at 10am by patient refusal look identical in the data, and they are opposite situations.",Manual,Capacity Management
S-47,Scheduling,Caregiver,POA status and signing authority,Whether an active power of attorney holds legal authority to sign admission consents and to be the contact of record.,"Distinct from a caregiver-present requirement. Where a POA exists the patient's own agreement does not satisfy consent, and some POAs direct that the patient not be contacted at all.",Nurse arrives for the SOC; the patient cannot sign and the POA is two states away. The visit is wasted.,Hard,Medium,Assist,"A legal fact once captured, but capture is manual and it changes - surface it before the visit is booked and let a person confirm who may be contacted.",Discovering it at the door wastes a start-of-care visit; contacting the wrong party is both a service failure and a disclosure problem.,Commure + Manual,Patient Engagement
S-48,Scheduling,Clinical timing,Rehospitalization risk,"A patient's assessed risk of rehospitalization, used to prioritise visit timing and avoid care gaps.","A scheduling input, not only a clinical one. It should decide which visits survive a call-out and which patients tolerate a gap. The natural companion to S-33 acuity, which helps with coverage triage.",Two visits compete for one covering clinician; the higher-risk patient keeps the slot.,Soft,Medium,Read,A risk score may inform priority; it may not silently reorder a clinician's day or override clinical judgment.,Open question: whether Pulse exposes this at patient level in a form scheduling can consume.,Pulse,Scheduling Engine
