Id,Layer,Variable,Constraint,Mvp,Posture,Gating,Confidence,Current,Sot,Sourced,Measure,Rollup,Weight,Notes
S-39,Scheduling,Missed-visit documentation,Config,Yes,Control,N,High,In-system,HCHB,System,Quantitative,SCH-M,3,Workflow and compliance prompt and tracking.
S-40,Scheduling,Front-loading,Soft,Maybe,Assist,N,Medium,In-system,Derived,System,Quantitative,SCH-N,1,"Optimize toward the target, but forcing it disrupts clinician routines."
S-41,Scheduling,Pace vs. schedule,Derived,Maybe,Control,N,High,In-system,Derived,System,Quantitative,SCH-N,1,Derived metric; safe to surface.
S-42,Scheduling,Day-by-day balancing,Soft,Maybe,Assist,N,Medium,In-system,Derived,System,Quantitative,SCH-N,1,"Optimizable, but it touches human routines and informal constraints."
SH-01,Shared,Clinician headcount,Structural,Yes,Control,Y,High,In-system,Workday + HCHB,Branch,Quantitative,SHD-A,3,Clear roster fact; safe to sync and read.
SH-02,Shared,Discipline,Structural,Yes,Control,Y,High,In-system,Workday + HCHB,Branch,Quantitative,SHD-A,3,"Firm licensure fact, fully in the data."
SH-03,Shared,Role (assessing vs assistant),Structural,Yes,Control,Y,High,In-system,Derived,Branch,Quantitative,SHD-A,3,Derived directly from discipline.
SH-04,Shared,FTE / employment type,Structural,Yes,Control,Y,High,In-system,Workday,Branch,Quantitative,SHD-A,3,Clear employment attribute.
SH-05,Shared,Approved time off / availability,Hard,Yes,Control,Y,High,In-system,Workday + HCHB,Clinician,Quantitative,SHD-B,3,"Once entered, a firm blackout the system can honor."
SH-06,Shared,Territory / service area,Structural,Yes,Assist,Y,Medium,Manual,HCHB + Manual + Census,Geography,Quantitative,SHD-C,3,Territory lines carry local knowledge; propose and confirm.  Territory zip code/CCT list to be connected as well as include pre-ordained backup options for coverage.  Visit assignment:  Human Confirm as final step.
SH-07,Shared,Productivity points per visit type,Config,Yes,Control,N,High,In-system,Config,System,Quantitative,SHD-D,3,Policy constant; simple lookup.
SH-08,Shared,Productivity target & ceiling,Config,Yes,Control,N,High,In-system,HCHB + Config,Branch,Quantitative,SHD-E,3,Policy constant; simple lookup.
SH-09,Shared,Referral inflow / discharge outflow,Event,Yes,Control,N,High,In-system,HCHB,System,Quantitative,SHD-F,3,Event detection is clear; the downstream action is scored separately.
