S-10,Scheduling,Preferred end time / hard stop,Yes,Assist,N,N,3,Variable,SCH-C,,,,Active,55,"OVERREACH - Max Hours/Day and the fixed daily constraint act as an auto-enforced hard stop on the workday, exceeding our Assist posture on end time (indirect: a capacity cap, not a clock end-time).",,,
S-11,Scheduling,Max consecutive visits / daily volume,Maybe,Assist,N,Y,1,Variable,SCH-C,Active,50,The Smart Scheduling Exceptions queue surfaces visits rejected for reasons such as 'Worker at Max Hours'.,Active,75,"OVERREACH - Visits-per-Day and Hours-per-Day parameters auto-cap daily volume; engine stops at whichever fills first, exceeding our Assist posture.",,,
S-12,Scheduling,Elasticity / willingness to flex,Maybe,Read,N,N,1,Variable,SCH-C,,,,Testing,45,"Shift Manager Find Shifts (first feature, newly launching) lets clinicians opt into extra visits, surfacing willingness for them to decide.",,,
S-13,Scheduling,Overtime / extra-visit willingness,Maybe,Read,N,N,1,Variable,SCH-C,,,,Active,55,"OVERREACH - Engine auto-applies overtime penalties/1.5x rates and 30% caps to de-incentivize overtime, acting on it rather than only surfacing willingness per our Read posture.",,,
,Scheduling,Routing,,,,,,Category,SCH-D,,60,,,82.72727272727273,,,,
S-14,Scheduling,Home base (start/end location),Yes,Control,Y,N,3,Variable,SCH-D,,,,Active,90,Worker home address or Alternate Starting Point is the routing start/end point the engine uses automatically.,,,
S-17,Scheduling,Proximity to existing route,Maybe,Control,N,Y,1,Variable,SCH-D,,,,Active,85,Optimizes assignment partly on drive distance/proximity between a clinician's existing routed visits.,,,
S-18,Scheduling,Optimized-route mileage,Yes,Control,N,N,3,Variable,SCH-D,,,,Active,90,Core function: computes shortest-driving-distance routes via OpenStreetMaps and optimizes mileage cost automatically.,,,
S-19,Scheduling,Intra-day sequencing,Maybe,Assist,N,N,1,Variable,SCH-D,Active,45,"The 7-day calendar separates Time not set from Time set visits, showing timed visit chips in intra-day order.",Active,75,"Orders visits to optimize drive time and shows recommended sequence in PointCare, which does not enforce the order.",,,
S-20,Scheduling,Appointment window (time of day),Yes,Assist,N,N,3,Variable,SCH-D,Active,65,Visit Details shows Visit Start and End time and the calendar's Time set section lists the assigned time-of-day window.,Active,70,Patient Schedule Preference time ranges (7am-7pm) are used to suggest visit times; console warns but does not block.,,,
,Scheduling,Matching,,,,,,Category,SCH-E,,55,,,82.5,,,,
S-15,Scheduling,Discipline / role match,Yes,Control,Y,N,3,Variable,SCH-E,Active,55,"Visit List shows assigned Worker and service code, and worker cards carry Primary Job Description for discipline/role visibility; no match validation.",Active,90,Discipline/role match via Job Code is a hard constraint; ineligible workers are never assigned.,,,
S-16,Scheduling,Specialty competency match,Yes,Assist,Y,N,3,Variable,SCH-E,,,,Active,75,"OVERREACH - Skills/Qualifiers competency match is an auto-enforced hard constraint, deciding rather than proposing per our Assist posture.",,,
S-33,Scheduling,Acuity to discipline / skill,Yes,Read,Y,N,3,Variable,SCH-E,,,,,,,,,
,Scheduling,Constraint,,,,,,Category,SCH-F,,0,,,80,,,,
S-21,Scheduling,Clinician restrictions,Yes,Control,Y,N,3,Variable,SCH-F,,,,Active,80,"Incompatible-patient flags, license/state matching, and exclusion locations are auto-enforced clinician restrictions.",,,
,Scheduling,Continuity,,,,,,Category,SCH-G,,80,,,85,,,,
S-22,Scheduling,Continuity of care,Maybe,Assist,N,N,1,Variable,SCH-G,Active,80,Continuity assigned by Smart Scheduling appears as a Visit List column and is filterable via 'Continuity less than' in 10% increments.,Active,85,"OVERREACH - Continuity is a core optimization: the engine auto-assigns to maximize a weighted continuity score and can override manual assignments, exceeding our Assist posture.",,,
,Scheduling,Preference,,,,,,Category,SCH-H,,0,,,0,,,,
S-23,Scheduling,Gender preference,Yes,Assist,N,N,3,Variable,SCH-H,,,,,,,,,
S-24,Scheduling,Language / cultural match,Maybe,Assist,N,N,1,Variable,SCH-H,,,,,,,,,
,Scheduling,Patient availability,,,,,,Category,SCH-I,,0,,,67.85714285714286,,,,
S-25,Scheduling,Time-of-day refusal,Yes,Assist,Y,N,3,Variable,SCH-I,,,,Active,65,Patient Schedule Preference days/times let agencies encode time-of-day refusals the engine suggests around.,,,
S-26,Scheduling,Preferred visit window,Maybe,Assist,N,N,1,Variable,SCH-I,,,,Active,70,Patient Schedule Preference preferred time ranges feed the engine's suggested visit windows.,,,
S-27,Scheduling,Day-of-week constraint,Yes,Assist,Y,N,3,Variable,SCH-I,,,,Active,70,Patient Schedule Preference preferred days constrain the engine's day suggestions.,,,
,Scheduling,Caregiver,,,,,,Category,SCH-J,,0,,,0,,,,
S-28,Scheduling,Caregiver-present requirement,Yes,Read,Y,N,3,Variable,SCH-J,,,,,,,,,
S-29,Scheduling,Cognitive / dementia constraint,Yes,Read,Y,N,3,Variable,SCH-J,,,,,,,,,
S-30,Scheduling,Caregiver schedule / fluctuating availability,Yes,Read,Y,N,3,Variable,SCH-J,,,,,,,,,
,Scheduling,Clinical timing,,,,,,Category,SCH-K,,0,,,65,,,,
S-31,Scheduling,Diagnosis-driven timing,Yes,Read,Y,N,3,Variable,SCH-K,,,,,,,,,
S-32,Scheduling,Competing medical appointments,Yes,Assist,Y,N,3,Variable,SCH-K,,,,Active,65,"Patient Schedule Preference is explicitly for dialysis/bloodwork/other vital appointments, letting the engine suggest around competing appointment times.",,,
S-34,Scheduling,Infection-control sequencing,Maybe,Assist,N,N,1,Variable,SCH-K,,,,,,,,,
,Scheduling,Dependency,,,,,,Category,SCH-L,,0,,,65,,,,
S-37,Scheduling,Supervisory visit dependency,Yes,Control,Y,N,3,Variable,SCH-L,,,,Active,65,Buddy codes (Medical Treatment visits) are auto-matched to the routine visit by patient and day so the same worker takes both.,,,
,Scheduling,Exception,,,,,,Category,SCH-M,,70,,,67.5,,,,
S-38,Scheduling,Missed / unworked visit rescheduling,Yes,Assist,Y,N,3,Variable,SCH-M,Active,75,"The Scheduling Status Alerts queue surfaces Rescheduled, Reassigned, Declined and Missed-by-Clinician visits requiring rework.",Active,75,"OVERREACH - Visit Dispatching auto-reassigns declined/reassigned visits to the next-best worker and stage-completes, exceeding our Assist posture.",,,
S-39,Scheduling,Missed-visit documentation,Yes,Control,N,N,3,Variable,SCH-M,Active,65,"Missed statuses (Missed by Clinician, Missed-Not Needed marked by Scheduler) and Visit Change History document unworked visits.",Active,60,Visit Change History and rejection/decline reasons auto-log every action taken on a visit (engine- or user-driven).,,,
,Scheduling,Distribution,,,,,,Category,SCH-N,,45,,,55,,,,
S-40,Scheduling,Front-loading,Maybe,Assist,N,Y,1,Variable,SCH-N,,,,,,,,,
S-41,Scheduling,Pace vs. schedule,Maybe,Control,N,N,1,Variable,SCH-N,,,,,,,,,
S-42,Scheduling,Day-by-day balancing,Maybe,Assist,N,N,1,Variable,SCH-N,Active,45,The 7-day Patient and Worker calendars display visit distribution across each day of the week for the scheduler to balance.,Active,55,"OVERREACH - Engine distributes visits across the 7-day window and Frequency-based Plotting assigns days by branch workload, balancing days automatically past our Assist posture.",,,
COORDINATION   -   the execution glue that ties capacity and scheduling,,,,,,,,,,,,,,,,,,
,Coordination,Confirmation & Reminders,,,,,,Category,CRD-A,,67.5,,,0,,,,
CO-01,Coordination,Day-before / same-day visit confirmation,Yes,Assist,N,N,3,Variable,CRD-A,Active,70,Visit icons show Patient Visit Reminder states - Patient/Primary Caregiver Received and Confirmed - giving confirmation visibility.,,,,,,
CO-02,Coordination,Automated appointment reminders,Yes,Control,N,Y,3,Variable,CRD-A,Active,65,Patient Visit Reminder icons (Received/Confirmed for patient and caregiver) surface the status of automated appointment reminders.,,,,,,
CO-03,Coordination,En-route / on-my-way notification,Maybe,Control,N,N,1,Variable,CRD-A,,,,,,,,,
CO-04,Coordination,New-patient welcome call,Maybe,Assist,N,N,1,Variable,CRD-A,,,,,,,,,
CO-05,Coordination,Communication channel & preference management,Maybe,Assist,N,Y,1,Variable,CRD-A,,,,,,,,,
,Coordination,Coverage & Reschedule,,,,,,Category,CRD-B,,57,,,59,,,,
CO-06,Coordination,Availability confirmation before booking,Yes,Read,Y,N,3,Variable,CRD-B,Active,60,The Worker Calendar and its dynamic capacity read give schedulers clear availability visibility before booking.,Active,55,"OVERREACH - Engine auto-validates clinician and patient availability as a hard gate before booking, acting rather than only surfacing per our Read posture.",,,
CO-07,Coordination,Reschedule coordination,Maybe,Read,N,N,1,Variable,CRD-B,Active,60,The Scheduling Status Alerts queue surfaces Rescheduled visits returned from the field for reschedule coordination.,Active,65,"OVERREACH - Visit Dispatching and Rapid Reschedule auto-reschedule/reassign visits, exceeding our Read posture on reschedule coordination.",,,
CO-08,Coordination,Failed-visit / no-show follow-up & rebooking,Yes,Assist,Y,N,3,Variable,CRD-B,Active,65,Declined and Missed-by-Clinician visits in the Alerts queue surface failed visits needing follow-up and rebooking.,Active,65,"OVERREACH - Declined/reassigned visits are auto-rebooked to the next-best clinician by Visit Dispatching, exceeding our Assist posture on failed-visit follow-up.",,,
CO-09,Coordination,Call-out coverage coordination,Yes,Read,Y,N,3,Variable,CRD-B,Active,45,Reassigned/Declined alerts plus Worker search (with capacity and calendar) support finding coverage for call-outs.,Active,55,OVERREACH - Visit Dispatching auto-reassigns call-out/declined visits to the next-best clinician (Find Shifts also surfaces unfilled shifts); the engine acts on coverage rather than only surfacing per our Read posture.,,,
,Coordination,Care Coordination,,,,,,Category,CRD-C,,45,,,50,,,,
CO-10,Coordination,Multi-discipline visit coordination,Maybe,Assist,N,N,1,Variable,CRD-C,Active,45,The Visit List shows Team Member and a multi-select Teams filter to view visits across care-team disciplines.,,,,,,
CO-11,Coordination,Care-team / office coordination updates,Maybe,Assist,N,N,1,Variable,CRD-C,Active,45,Visit Change History and field-return alert statuses surface updates for care-team/office coordination.,Active,50,"Same-Day Schedule Notifications, auto workflow-stage closure, and Visit Change History surface schedule changes to the care team/office.",,,
,Coordination,Coordination Cost,,,,,,Category,CRD-D,,0,,,0,,,,
CO-12,Coordination,Coordination time load,Maybe,Read,N,N,1,Variable,CRD-D,,,,,,,,,
