CL-10,Coordination,Day-before confirmation,Executes,Often the one who calls the patient to confirm tomorrow's visit.,A chore that saves me a wasted trip; I would happily hand off the reminder and keep the call that surfaces a real change.,The confirmation call is mine on top of a full day of visits and documentation.,Keep the judgment call. Offload the routine reminder.,Tomorrow's visits are confirmed without it costing my evening.,"CO-01, CO-03"
CL-11,Coordination,On-my-way notice,Executes,Text or call the patient when I am en route.,A small courtesy that smooths the visit and settles the patient before I arrive.,One more manual touch during the drive when my hands are full.,Keep the personal touch when it matters. Offload the routine on-my-way text.,Patients know I am coming without me stopping to tell each one.,CO-03
CL-12,Coordination,Reschedule at the door,Owns,"When a visit fails, rebook it on the spot with the patient or family.",Relational recovery I own better than the office because I am standing right there with the family.,What I agree at the door does not always make it back into the schedule cleanly.,Keep the on-the-spot rebook. Offload getting it recorded without a second call.,A door-step reschedule that holds without office rework.,"CO-07, CO-08"
CL-13,Coordination,Coordination time,Experiences,Absorb the non-visit coordination work across the day.,"Invisible, unpaid-feeling work - roughly forty-five minutes a day - that eats into my documentation and my own time.","It is never counted, so it never gets resourced or reduced.",Keep the parts that need my judgment. Offload the mechanical coordination.,Less time on the phone and more on patients and charting.,"CO-12, S-08"
Clinician Archetypes & Behavioral Drivers,,,,,,,,,
"Clinicians are not interchangeable capacity. Each carries drivers - some chosen, some fixed by their life, some shaped by history with the branch - that determine how they respond to scheduling, coverage requests, and efficiency gains. Some of these are not malleable; the system has to work around them rather than expect them to change. The goal is not to convert every clinician into a maximizer, but to set realistic expectations for each and to read which drivers are fixed, which were shaped by past experience, and which can still be moved.",,,,,,,,,
Archetype,,Profile & core driver,,What efficiency gains mean to them,,Effect on capacity & scheduling,Malleable?,What the system must do,
The Earner / Maximizer,,"Motivated to earn, often on per-visit pay. Wants a full, dense day and more visits when they are available.",,More capacity for themselves - efficiency means they can fit additional visits and take home more.,,The branch's elastic surge capacity: first to say yes to extra visits and same-day adds when the work is workable.,Partly,Feed them the extra visits fast and in a clean route. They are the release valve - keep a pipeline of workable adds flowing to them.,
The Balanced / Sufficiency-seeker,,Meets targets reliably; values work-life balance over maximizing volume.,,"Not more visits - the same rate delivered with less stress, better care, or an earlier finish.",,"Steady, dependable base load; will not routinely absorb extra and should not be counted on for surge.",Fixed,"Return efficiency to them as quality or time, not as more visits. Expect reliable throughput, not stretch - and be genuinely OK with that.",
The Territorial / Rooted,,"Deep attachment to their zips, patients, and known routes; reluctant to cross territory.",,Efficiency inside their area is welcome; it does not change their reluctance to leave it.,,"Strong within territory, resistant to cross-coverage - a gap when demand shifts outside their zone.",Partly,"Treat their territory as the default, not a limit to fight. Make cross-coverage genuinely workable - a tight route, a worthwhile block - before asking, and ask fairly.",
The Scarred / Low-trust,,"Carries historical frustration - past cancellations that took the branch an hour or two to backfill, leaving them with dead time.",,Skeptical that gains are real; has been promised workable coverage before and been left waiting.,,Withholds flexibility to protect against wasted time; declines extra and cross-coverage on principle until trust returns.,Shapeable,"Rebuild trust with proof: fast, workable replacements delivered in minutes, not hours. Reliability across several cycles moves this clinician; promises do not.",
The Rigid-pattern / Life-constrained,,"Hard stop, childcare, split shift, fixed lunch - the pattern is their life, not a preference.",,Efficiency that respects the pattern helps; efficiency that assumes they will flex it does not.,,Predictable and bounded; the pattern is a hard constraint that reshapes any day built for them.,Fixed,"Treat the pattern as a hard rule, not a lever. Never schedule past a hard stop or across a fixed block; build the day inside their real edges.",
The Flexible / Team-player,,"Genuinely adaptable; says yes, adjusts, covers - the easy one to schedule.",,Happy to gain efficiency and to help; rarely counts the cost to themselves.,,High willingness to flex and cover; quietly becomes the branch's default yes.,Shapeable,Protect them from being over-tapped. Rotate the asks so the willing do not burn out and harden into the scarred archetype - the most common way a branch loses its flex.,
The Newer / Cautious,,Still ramping or building confidence; careful on higher acuity and unfamiliar territory.,,Efficiency helps once they trust it; too much too fast raises anxiety.,,Real capacity that is not yet full; over-loading or mis-matching acuity risks a safety or retention problem.,Partly,"Ramp deliberately, match to appropriate acuity, and grow the load as competence and confidence build. Do not treat ramped headcount as full capacity.",
Common resting patterns in a branch (change-management view),,,,,,,,,
Negative resting patterns (what hardens a branch),,,,,,Positive resting patterns (what a healthy branch settles into),,,
"-  Slow-replacement scar: after a cancellation the branch historically took one to two hours to offer a workable replacement, so clinicians stopped trusting that saying yes would be worth their time. -  Hoarding the willing: the same few flexible clinicians get every coverage ask, burn out, and harden into a no - shrinking the flex pool over time. -  Territory entrenchment: cross-coverage is only ever asked in a crisis, so the habit never forms and leaving one's zone feels abnormal. -  Points-as-treadmill: productivity is framed only as more, so balanced clinicians disengage from efficiency entirely.",,,,,,"-  Fast, workable backfill: replacements are offered in minutes with a real route, so clinicians trust the branch and take them. -  Fair rotation of asks: coverage requests are spread across the team, so no one clinician hardens from over-use. -  Earners fed surge: maximizers reliably receive the extra work, giving the branch dependable elastic capacity. -  Efficiency returned as choice: gains are offered as take-more or finish-earlier, so both earners and balance-seekers opt in on their own terms.",,,
"Change-management read: you cannot schedule your way out of a trust deficit. Name the negative resting patterns in a branch first - most reluctance to cover or take extra is a rational response to past inefficiency, not a personality flaw. Set expectations per archetype, prove reliability before asking for stretch, and accept that a balanced clinician who meets their role is a success, not a conversion target.",,,,,,,,,
